Sequence_ID	Locus_Tag	Position	Strand	Window_Size	GC_Content
TIGR4_NEG_SP_0101-103145-r	SP_0101	103145	-	81	49.38
TIGR4_NEG_SP_0103-104868-f	SP_0103	104868	+	81	38.27
TIGR4_NEG_SP_0112-114266-f	SP_0112	114266	+	81	41.98
TIGR4_NEG_SP_0113-114969-f	SP_0113	114969	+	81	37.04
TIGR4_NEG_SP_0120-122965-f	SP_0120	122965	+	81	50.62
TIGR4_NEG_SP_0120-124325-f	SP_0120	124325	+	81	49.38
TIGR4_NEG_SP_0124-127833-r	SP_0124	127833	-	81	39.51
TIGR4_NEG_SP_0137-135463-f	SP_0137	135463	+	81	33.33
TIGR4_NEG_SP_0137-136333-f	SP_0137	136333	+	81	33.33
TIGR4_NEG_SP_0144-142342-f	SP_0144	142342	+	81	43.21
TIGR4_NEG_SP_0153-150882-r	SP_0153	150882	-	81	49.38
TIGR4_NEG_SP_0156-153990-f	SP_0156	153990	+	81	40.74
TIGR4_NEG_SP_0159-156702-r	SP_0159	156702	-	81	49.38
TIGR4_NEG_SP_0159-156802-r	SP_0159	156802	-	81	40.74
TIGR4_NEG_SP_0161-158499-r	SP_0161	158499	-	81	46.91
TIGR4_NEG_SP_0176-169133-r	SP_0176	169133	-	81	29.63
TIGR4_NEG_SP_0182-173840-r	SP_0182	173840	-	81	49.38
TIGR4_NEG_SP_0184-175646-r	SP_0184	175646	-	81	40.74
TIGR4_NEG_SP_0186-177857-f	SP_0186	177857	+	81	43.21
TIGR4_NEG_SP_0199-186341-f	SP_0199	186341	+	81	38.27
TIGR4_NEG_SP_0200-187831-f	SP_0200	187831	+	81	32.1
TIGR4_NEG_SP_0200-188301-f	SP_0200	188301	+	81	50.62
TIGR4_NEG_SP_0202-189004-f	SP_0202	189004	+	81	34.57
TIGR4_NEG_SP_0212-195305-f	SP_0212	195305	+	81	43.21
TIGR4_NEG_SP_0229-202887-f	SP_0229	202887	+	81	38.27
TIGR4_NEG_SP_0230-203720-f	SP_0230	203720	+	81	30.86
TIGR4_NEG_SP_0247-217551-f	SP_0247	217551	+	81	35.8
TIGR4_NEG_SP_0250-219383-f	SP_0250	219383	+	81	34.57
TIGR4_NEG_SP_0254-225192-f	SP_0254	225192	+	81	48.15
TIGR4_NEG_SP_0259-231820-f	SP_0259	231820	+	81	41.98
TIGR4_NEG_SP_0261-233552-f	SP_0261	233552	+	81	49.38
TIGR4_NEG_SP_0265-238648-f	SP_0265	238648	+	81	34.57
TIGR4_NEG_SP_0266-239900-f	SP_0266	239900	+	81	50.62
TIGR4_NEG_SP_0266-240710-f	SP_0266	240710	+	81	45.68
TIGR4_NEG_SP_0268-246386-r	SP_0268	246386	-	81	41.98
TIGR4_NEG_SP_0274-251978-f	SP_0274	251978	+	81	37.04
TIGR4_NEG_SP_0274-252588-f	SP_0274	252588	+	81	50.62
TIGR4_NEG_SP_0274-253928-f	SP_0274	253928	+	81	38.27
TIGR4_NEG_SP_0274-254128-f	SP_0274	254128	+	81	51.85
TIGR4_NEG_SP_0278-256460-f	SP_0278	256460	+	81	46.91
TIGR4_NEG_SP_0282-260559-r	SP_0282	260559	-	81	50.62
TIGR4_NEG_SP_0289-268051-f	SP_0289	268051	+	81	41.98
TIGR4_NEG_SP_0290-269277-f	SP_0290	269277	+	81	41.98
TIGR4_NEG_SP_0298-274793-r	SP_0298	274793	-	81	37.04
TIGR4_NEG_SP_0314-289280-f	SP_0314	289280	+	81	41.98
TIGR4_NEG_SP_0314-289790-f	SP_0314	289790	+	81	40.74
TIGR4_NEG_SP_0330-303433-f	SP_0330	303433	+	81	41.98
TIGR4_NEG_SP_0332-304699-r	SP_0332	304699	-	81	43.21
TIGR4_NEG_SP_0336-307370-f	SP_0336	307370	+	81	41.98
TIGR4_NEG_SP_0337-309174-f	SP_0337	309174	+	81	39.51
TIGR4_NEG_SP_0338-311923-f	SP_0338	311923	+	81	41.98
TIGR4_NEG_SP_0338-312483-f	SP_0338	312483	+	81	45.68
TIGR4_NEG_SP_0338-312723-f	SP_0338	312723	+	81	40.74
TIGR4_NEG_SP_0346-320737-f	SP_0346	320737	+	81	40.74
TIGR4_NEG_SP_0346-320837-f	SP_0346	320837	+	81	43.21
TIGR4_NEG_SP_0347-321834-f	SP_0347	321834	+	81	39.51
TIGR4_NEG_SP_0348-322514-f	SP_0348	322514	+	81	37.04
TIGR4_NEG_SP_0368-341973-f	SP_0368	341973	+	81	34.57
TIGR4_NEG_SP_0368-342383-f	SP_0368	342383	+	81	48.15
TIGR4_NEG_SP_0368-343243-f	SP_0368	343243	+	81	41.98
TIGR4_NEG_SP_0369-348163-r	SP_0369	348163	-	81	37.04
TIGR4_NEG_SP_0369-348813-r	SP_0369	348813	-	81	37.04
TIGR4_NEG_SP_0373-351213-f	SP_0373	351213	+	81	44.44
TIGR4_NEG_SP_0384-364309-f	SP_0384	364309	+	81	45.68
TIGR4_NEG_SP_0391-369981-f	SP_0391	369981	+	81	38.27
TIGR4_NEG_SP_0394-372520-f	SP_0394	372520	+	81	48.15
TIGR4_NEG_SP_0394-372920-f	SP_0394	372920	+	81	44.44
TIGR4_NEG_SP_0394-373540-f	SP_0394	373540	+	81	34.57
TIGR4_NEG_SP_0394-373800-f	SP_0394	373800	+	81	41.98
TIGR4_NEG_SP_0400-379211-f	SP_0400	379211	+	81	38.27
TIGR4_NEG_SP_0400-379581-f	SP_0400	379581	+	81	40.74
TIGR4_NEG_SP_0401-379992-r	SP_0401	379992	-	81	43.21
TIGR4_NEG_SP_0401-381612-r	SP_0401	381612	-	81	40.74
TIGR4_NEG_SP_0406-385754-f	SP_0406	385754	+	81	49.38
TIGR4_NEG_SP_0406-386404-f	SP_0406	386404	+	81	45.68
TIGR4_NEG_SP_0408-388213-f	SP_0408	388213	+	81	44.44
TIGR4_NEG_SP_0409-389483-f	SP_0409	389483	+	81	37.04
TIGR4_NEG_SP_0410-390611-f	SP_0410	390611	+	81	44.44
TIGR4_NEG_SP_0411-391205-r	SP_0411	391205	-	81	50.62
TIGR4_NEG_SP_0411-391765-r	SP_0411	391765	-	81	38.27
TIGR4_NEG_SP_0413-393186-r	SP_0413	393186	-	81	46.91
TIGR4_NEG_SP_0413-393496-r	SP_0413	393496	-	81	41.98
TIGR4_NEG_SP_0436-409899-r	SP_0436	409899	-	81	46.91
TIGR4_NEG_SP_0437-411541-r	SP_0437	411541	-	81	48.15
TIGR4_NEG_SP_0445-417989-f	SP_0445	417989	+	81	38.27
TIGR4_NEG_SP_0445-418439-f	SP_0445	418439	+	81	39.51
TIGR4_NEG_SP_0454-427085-f	SP_0454	427085	+	81	35.8
TIGR4_NEG_SP_0457-430507-f	SP_0457	430507	+	81	39.51
TIGR4_NEG_SP_0459-432938-f	SP_0459	432938	+	81	43.21
TIGR4_NEG_SP_0459-433198-f	SP_0459	433198	+	81	32.1
TIGR4_NEG_SP_0460-434860-r	SP_0460	434860	-	81	41.98
TIGR4_NEG_SP_0460-435060-r	SP_0460	435060	-	81	35.8
TIGR4_NEG_SP_0462-439948-f	SP_0462	439948	+	81	38.27
TIGR4_NEG_SP_0462-440638-f	SP_0462	440638	+	81	35.8
TIGR4_NEG_SP_0463-441632-f	SP_0463	441632	+	81	34.57
TIGR4_NEG_SP_0463-441962-f	SP_0463	441962	+	81	39.51
TIGR4_NEG_SP_0463-441992-f	SP_0463	441992	+	81	35.8
TIGR4_NEG_SP_0466-445035-f	SP_0466	445035	+	81	46.91
TIGR4_NEG_SP_0469-448098-r	SP_0469	448098	-	81	37.04
TIGR4_NEG_SP_0469-448388-r	SP_0469	448388	-	81	33.33
TIGR4_NEG_SP_0479-460248-r	SP_0479	460248	-	81	40.74
TIGR4_NEG_SP_0480-461221-r	SP_0480	461221	-	81	40.74
TIGR4_NEG_SP_0483-465325-f	SP_0483	465325	+	81	40.74
TIGR4_NEG_SP_0496-474895-r	SP_0496	474895	-	81	43.21
TIGR4_NEG_SP_0496-475635-r	SP_0496	475635	-	81	44.44
TIGR4_NEG_SP_0496-475985-r	SP_0496	475985	-	81	48.15
TIGR4_NEG_SP_0498-476659-f	SP_0498	476659	+	81	44.44
TIGR4_NEG_SP_0498-477049-f	SP_0498	477049	+	81	33.33
TIGR4_NEG_SP_0498-477099-f	SP_0498	477099	+	81	49.38
TIGR4_NEG_SP_0498-477949-f	SP_0498	477949	+	81	30.86
TIGR4_NEG_SP_0498-478649-f	SP_0498	478649	+	81	40.74
TIGR4_NEG_SP_0498-479689-f	SP_0498	479689	+	81	45.68
TIGR4_NEG_SP_0499-482228-f	SP_0499	482228	+	81	40.74
TIGR4_NEG_SP_0499-482508-f	SP_0499	482508	+	81	44.44
TIGR4_NEG_SP_0500-483080-f	SP_0500	483080	+	81	41.98
TIGR4_NEG_SP_0506-487781-f	SP_0506	487781	+	81	32.1
TIGR4_NEG_SP_0508-489452-r	SP_0508	489452	-	81	27.16
TIGR4_NEG_SP_0509-491160-r	SP_0509	491160	-	81	48.15
TIGR4_NEG_SP_0510-492406-r	SP_0510	492406	-	81	44.44
TIGR4_NEG_SP_0517-497785-f	SP_0517	497785	+	81	46.91
TIGR4_NEG_SP_0517-497965-f	SP_0517	497965	+	81	44.44
TIGR4_NEG_SP_0517-498495-f	SP_0517	498495	+	81	46.91
TIGR4_NEG_SP_0523-503506-f	SP_0523	503506	+	81	37.04
TIGR4_NEG_SP_0523-504066-f	SP_0523	504066	+	81	49.38
TIGR4_NEG_SP_0527-507122-f	SP_0527	507122	+	81	39.51
TIGR4_NEG_SP_0556-524254-f	SP_0556	524254	+	81	37.04
TIGR4_NEG_SP_0556-524644-f	SP_0556	524644	+	81	50.62
TIGR4_NEG_SP_0556-525464-f	SP_0556	525464	+	81	51.85
TIGR4_NEG_SP_0557-526271-f	SP_0557	526271	+	81	45.68
TIGR4_NEG_SP_0568-533805-f	SP_0568	533805	+	81	50.62
TIGR4_NEG_SP_0568-533865-f	SP_0568	533865	+	81	51.85
TIGR4_NEG_SP_0568-534175-f	SP_0568	534175	+	81	49.38
TIGR4_NEG_SP_0568-534765-f	SP_0568	534765	+	81	50.62
TIGR4_NEG_SP_0570-535912-f	SP_0570	535912	+	81	29.63
TIGR4_NEG_SP_0570-536082-f	SP_0570	536082	+	81	30.86
TIGR4_NEG_SP_0570-536652-f	SP_0570	536652	+	81	28.4
TIGR4_NEG_SP_0570-536662-f	SP_0570	536662	+	81	28.4
TIGR4_NEG_SP_0574-540192-f	SP_0574	540192	+	81	41.98
TIGR4_NEG_SP_0578-547182-f	SP_0578	547182	+	81	30.86
TIGR4_NEG_SP_0581-549961-f	SP_0581	549961	+	81	39.51
TIGR4_NEG_SP_0581-550941-f	SP_0581	550941	+	81	40.74
TIGR4_NEG_SP_0583-553171-f	SP_0583	553171	+	81	48.15
TIGR4_NEG_SP_0585-554379-f	SP_0585	554379	+	81	50.62
TIGR4_NEG_SP_0585-554749-f	SP_0585	554749	+	81	37.04
TIGR4_NEG_SP_0585-555319-f	SP_0585	555319	+	81	39.51
TIGR4_NEG_SP_0589-560262-f	SP_0589	560262	+	81	51.85
TIGR4_NEG_SP_0591-562697-f	SP_0591	562697	+	81	43.21
TIGR4_NEG_SP_0593-563693-f	SP_0593	563693	+	81	45.68
TIGR4_NEG_SP_0605-571914-f	SP_0605	571914	+	81	38.27
TIGR4_NEG_SP_0605-572094-f	SP_0605	572094	+	81	49.38
TIGR4_NEG_SP_0613-580819-f	SP_0613	580819	+	81	43.21
TIGR4_NEG_SP_0614-582109-f	SP_0614	582109	+	81	41.98
TIGR4_NEG_SP_0616-583745-f	SP_0616	583745	+	81	43.21
TIGR4_NEG_SP_0618-586847-f	SP_0618	586847	+	81	48.15
TIGR4_NEG_SP_0618-586907-f	SP_0618	586907	+	81	43.21
TIGR4_NEG_SP_0619-587921-f	SP_0619	587921	+	81	35.8
TIGR4_NEG_SP_0620-588956-r	SP_0620	588956	-	81	41.98
TIGR4_NEG_SP_0626-593030-f	SP_0626	593030	+	81	43.21
TIGR4_NEG_SP_0626-593450-f	SP_0626	593450	+	81	33.33
TIGR4_NEG_SP_0627-594458-f	SP_0627	594458	+	81	51.85
TIGR4_NEG_SP_0648-615712-f	SP_0648	615712	+	81	40.74
TIGR4_NEG_SP_0648-615822-f	SP_0648	615822	+	81	35.8
TIGR4_NEG_SP_0648-618032-f	SP_0648	618032	+	81	45.68
TIGR4_NEG_SP_0648-620542-f	SP_0648	620542	+	81	49.38
TIGR4_NEG_SP_0648-620612-f	SP_0648	620612	+	81	41.98
TIGR4_NEG_SP_0648-621032-f	SP_0648	621032	+	81	44.44
TIGR4_NEG_SP_0648-621572-f	SP_0648	621572	+	81	41.98
TIGR4_NEG_SP_0662-632619-f	SP_0662	632619	+	81	45.68
TIGR4_NEG_SP_0664-637021-f	SP_0664	637021	+	81	28.4
TIGR4_NEG_SP_0664-637801-f	SP_0664	637801	+	81	33.33
TIGR4_NEG_SP_0664-638931-f	SP_0664	638931	+	81	33.33
TIGR4_NEG_SP_0665-640952-f	SP_0665	640952	+	81	40.74
TIGR4_NEG_SP_0672-647287-f	SP_0672	647287	+	81	45.68
TIGR4_NEG_SP_0676-651345-r	SP_0676	651345	-	81	43.21
TIGR4_NEG_SP_0681-654319-f	SP_0681	654319	+	81	49.38
TIGR4_NEG_SP_0686-657017-f	SP_0686	657017	+	81	34.57
TIGR4_NEG_SP_0686-657427-f	SP_0686	657427	+	81	39.51
TIGR4_NEG_SP_0688-660305-f	SP_0688	660305	+	81	46.91
TIGR4_NEG_SP_0689-661419-f	SP_0689	661419	+	81	48.15
TIGR4_NEG_SP_0696-665336-f	SP_0696	665336	+	81	32.1
TIGR4_NEG_SP_0704-670857-f	SP_0704	670857	+	81	29.63
TIGR4_NEG_SP_0711-675871-r	SP_0711	675871	-	81	44.44
TIGR4_NEG_SP_0723-688386-f	SP_0723	688386	+	81	44.44
TIGR4_NEG_SP_0726-690878-r	SP_0726	690878	-	81	40.74
TIGR4_NEG_SP_0729-692912-f	SP_0729	692912	+	81	48.15
TIGR4_NEG_SP_0729-694062-f	SP_0729	694062	+	81	39.51
TIGR4_NEG_SP_0737-700254-r	SP_0737	700254	-	81	43.21
TIGR4_NEG_SP_0741-703413-r	SP_0741	703413	-	81	43.21
TIGR4_NEG_SP_0742-704407-r	SP_0742	704407	-	81	39.51
TIGR4_NEG_SP_0746-707072-f	SP_0746	707072	+	81	43.21
TIGR4_NEG_SP_0746-707232-f	SP_0746	707232	+	81	46.91
TIGR4_NEG_SP_0753-712001-f	SP_0753	712001	+	81	48.15
TIGR4_NEG_SP_0753-712481-f	SP_0753	712481	+	81	41.98
TIGR4_NEG_SP_0754-713409-f	SP_0754	713409	+	81	34.57
TIGR4_NEG_SP_0758-717613-f	SP_0758	717613	+	81	40.74
TIGR4_NEG_SP_0762-722378-f	SP_0762	722378	+	81	48.15
TIGR4_NEG_SP_0764-723441-f	SP_0764	723441	+	81	39.51
TIGR4_NEG_SP_0768-727514-f	SP_0768	727514	+	81	35.8
TIGR4_NEG_SP_0768-727634-f	SP_0768	727634	+	81	45.68
TIGR4_NEG_SP_0770-728593-f	SP_0770	728593	+	81	43.21
TIGR4_NEG_SP_0777-733106-f	SP_0777	733106	+	81	32.1
TIGR4_NEG_SP_0781-735403-r	SP_0781	735403	-	81	37.04
TIGR4_NEG_SP_0784-737445-r	SP_0784	737445	-	81	49.38
TIGR4_NEG_SP_0787-740762-f	SP_0787	740762	+	81	35.8
TIGR4_NEG_SP_0788-742685-f	SP_0788	742685	+	81	39.51
TIGR4_NEG_SP_0793-746753-f	SP_0793	746753	+	81	45.68
TIGR4_NEG_SP_0797-749587-f	SP_0797	749587	+	81	40.74
TIGR4_NEG_SP_0797-751167-f	SP_0797	751167	+	81	44.44
TIGR4_NEG_SP_0797-751547-f	SP_0797	751547	+	81	50.62
TIGR4_NEG_SP_0800-754014-r	SP_0800	754014	-	81	37.04
TIGR4_NEG_SP_0802-756700-f	SP_0802	756700	+	81	41.98
TIGR4_NEG_SP_0806-760968-f	SP_0806	760968	+	81	39.51
TIGR4_NEG_SP_0820-770298-r	SP_0820	770298	-	81	37.04
TIGR4_NEG_SP_0820-770528-r	SP_0820	770528	-	81	43.21
TIGR4_NEG_SP_0820-771118-r	SP_0820	771118	-	81	41.98
TIGR4_NEG_SP_0825-775061-f	SP_0825	775061	+	81	43.21
TIGR4_NEG_SP_0825-775461-f	SP_0825	775461	+	81	51.85
TIGR4_NEG_SP_0831-780817-f	SP_0831	780817	+	81	44.44
TIGR4_NEG_SP_0835-784173-f	SP_0835	784173	+	81	46.91
TIGR4_NEG_SP_0836-784953-r	SP_0836	784953	-	81	35.8
TIGR4_NEG_SP_0836-785143-r	SP_0836	785143	-	81	38.27
TIGR4_NEG_SP_0839-787210-r	SP_0839	787210	-	81	41.98
TIGR4_NEG_SP_0845-791730-f	SP_0845	791730	+	81	37.04
TIGR4_NEG_SP_0847-794164-f	SP_0847	794164	+	81	39.51
TIGR4_NEG_SP_0852-798857-f	SP_0852	798857	+	81	37.04
TIGR4_NEG_SP_0852-799147-f	SP_0852	799147	+	81	48.15
TIGR4_NEG_SP_0852-799557-f	SP_0852	799557	+	81	44.44
TIGR4_NEG_SP_0852-799567-f	SP_0852	799567	+	81	46.91
TIGR4_NEG_SP_0865-812694-f	SP_0865	812694	+	81	43.21
TIGR4_NEG_SP_0872-819032-r	SP_0872	819032	-	81	46.91
TIGR4_NEG_SP_0873-820956-f	SP_0873	820956	+	81	30.86
TIGR4_NEG_SP_0873-821066-f	SP_0873	821066	+	81	41.98
TIGR4_NEG_SP_0875-822897-f	SP_0875	822897	+	81	35.8
TIGR4_NEG_SP_0886-835735-f	SP_0886	835735	+	81	32.1
TIGR4_NEG_SP_0886-836025-f	SP_0886	836025	+	81	44.44
TIGR4_NEG_SP_0890-838556-f	SP_0890	838556	+	81	32.1
TIGR4_NEG_SP_0892-840315-f	SP_0892	840315	+	81	37.04
TIGR4_NEG_SP_0892-842755-f	SP_0892	842755	+	81	45.68
TIGR4_NEG_SP_0892-842855-f	SP_0892	842855	+	81	33.33
TIGR4_NEG_SP_0908-861109-f	SP_0908	861109	+	81	44.44
TIGR4_NEG_SP_0912-864897-f	SP_0912	864897	+	81	41.98
TIGR4_NEG_SP_0913-866547-f	SP_0913	866547	+	81	37.04
TIGR4_NEG_SP_0923-877803-r	SP_0923	877803	-	81	39.51
TIGR4_NEG_SP_0923-878263-r	SP_0923	878263	-	81	41.98
TIGR4_NEG_SP_0930-882728-f	SP_0930	882728	+	81	33.33
TIGR4_NEG_SP_0932-886301-f	SP_0932	886301	+	81	46.91
TIGR4_NEG_SP_0950-898969-f	SP_0950	898969	+	81	29.63
TIGR4_NEG_SP_0955-903746-f	SP_0955	903746	+	81	37.04
TIGR4_NEG_SP_0955-904496-f	SP_0955	904496	+	81	41.98
TIGR4_NEG_SP_0955-904566-f	SP_0955	904566	+	81	43.21
TIGR4_NEG_SP_0958-906287-f	SP_0958	906287	+	81	43.21
TIGR4_NEG_SP_0965-911435-f	SP_0965	911435	+	81	39.51
TIGR4_NEG_SP_0965-912145-f	SP_0965	912145	+	81	38.27
TIGR4_NEG_SP_0965-912165-f	SP_0965	912165	+	81	39.51
TIGR4_NEG_SP_0965-912365-f	SP_0965	912365	+	81	37.04
TIGR4_NEG_SP_0969-915929-f	SP_0969	915929	+	81	46.91
TIGR4_NEG_SP_0969-916089-f	SP_0969	916089	+	81	40.74
TIGR4_NEG_SP_0975-920786-f	SP_0975	920786	+	81	49.38
TIGR4_NEG_SP_0975-921116-f	SP_0975	921116	+	81	45.68
TIGR4_NEG_SP_0987-931495-r	SP_0987	931495	-	81	43.21
TIGR4_NEG_SP_0987-931765-r	SP_0987	931765	-	81	37.04
TIGR4_NEG_SP_0994-936757-f	SP_0994	936757	+	81	40.74
TIGR4_NEG_SP_0999-940506-f	SP_0999	940506	+	81	30.86
TIGR4_NEG_SP_1001-942045-f	SP_1001	942045	+	81	48.15
TIGR4_NEG_SP_1004-947693-f	SP_1004	947693	+	81	41.98
TIGR4_NEG_SP_1004-947903-f	SP_1004	947903	+	81	44.44
TIGR4_NEG_SP_1004-949143-f	SP_1004	949143	+	81	40.74
TIGR4_NEG_SP_1014-958393-f	SP_1014	958393	+	81	48.15
TIGR4_NEG_SP_1014-958893-f	SP_1014	958893	+	81	44.44
TIGR4_NEG_SP_1016-960858-r	SP_1016	960858	-	81	40.74
TIGR4_NEG_SP_1016-960938-r	SP_1016	960938	-	81	45.68
TIGR4_NEG_SP_1027-969597-f	SP_1027	969597	+	81	37.04
TIGR4_NEG_SP_1027-969787-f	SP_1027	969787	+	81	44.44
TIGR4_NEG_SP_1029-971345-f	SP_1029	971345	+	81	40.74
TIGR4_NEG_SP_1032-974286-f	SP_1032	974286	+	81	40.74
TIGR4_NEG_SP_1040-979533-f	SP_1040	979533	+	81	32.1
TIGR4_NEG_SP_1052-989397-f	SP_1052	989397	+	81	28.4
TIGR4_NEG_SP_1057-994204-f	SP_1057	994204	+	81	27.16
TIGR4_NEG_SP_1083-1019108-f	SP_1083	1019108	+	81	43.21
TIGR4_NEG_SP_1087-1022745-f	SP_1087	1022745	+	81	53.09
TIGR4_NEG_SP_1087-1024275-f	SP_1087	1024275	+	81	38.27
TIGR4_NEG_SP_1087-1024395-f	SP_1087	1024395	+	81	40.74
TIGR4_NEG_SP_1094-1028182-r	SP_1094	1028182	-	81	44.44
TIGR4_NEG_SP_1094-1028412-r	SP_1094	1028412	-	81	41.98
TIGR4_NEG_SP_1095-1029027-r	SP_1095	1029027	-	81	41.98
TIGR4_NEG_SP_1101-1034342-r	SP_1101	1034342	-	81	35.8
TIGR4_NEG_SP_1104-1036700-f	SP_1104	1036700	+	81	46.91
TIGR4_NEG_SP_1104-1036710-f	SP_1104	1036710	+	81	41.98
TIGR4_NEG_SP_1114-1044000-f	SP_1114	1044000	+	81	44.44
TIGR4_NEG_SP_1116-1046627-f	SP_1116	1046627	+	81	34.57
TIGR4_NEG_SP_1118-1050828-f	SP_1118	1050828	+	81	46.91
TIGR4_NEG_SP_1124-1059005-f	SP_1124	1059005	+	81	48.15
TIGR4_NEG_SP_1124-1059025-f	SP_1124	1059025	+	81	46.91
TIGR4_NEG_SP_1124-1059105-f	SP_1124	1059105	+	81	45.68
TIGR4_NEG_SP_1129-1064001-r	SP_1129	1064001	-	81	38.27
TIGR4_NEG_SP_1142-1070828-f	SP_1142	1070828	+	81	37.04
TIGR4_NEG_SP_1145-1072971-f	SP_1145	1072971	+	81	32.1
TIGR4_NEG_SP_1151-1075777-f	SP_1151	1075777	+	81	40.74
TIGR4_NEG_SP_1151-1076067-f	SP_1151	1076067	+	81	44.44
TIGR4_NEG_SP_1151-1076747-f	SP_1151	1076747	+	81	39.51
TIGR4_NEG_SP_1151-1078007-f	SP_1151	1078007	+	81	48.15
TIGR4_NEG_SP_1152-1078949-f	SP_1152	1078949	+	81	48.15
TIGR4_NEG_SP_1152-1079289-f	SP_1152	1079289	+	81	38.27
TIGR4_NEG_SP_1152-1079369-f	SP_1152	1079369	+	81	40.74
TIGR4_NEG_SP_1152-1079479-f	SP_1152	1079479	+	81	53.09
TIGR4_NEG_SP_1152-1080489-f	SP_1152	1080489	+	81	46.91
TIGR4_NEG_SP_1152-1081059-f	SP_1152	1081059	+	81	39.51
TIGR4_NEG_SP_1154-1083961-f	SP_1154	1083961	+	81	35.8
TIGR4_NEG_SP_1154-1084511-f	SP_1154	1084511	+	81	34.57
TIGR4_NEG_SP_1154-1085301-f	SP_1154	1085301	+	81	40.74
TIGR4_NEG_SP_1154-1087561-f	SP_1154	1087561	+	81	39.51
TIGR4_NEG_SP_1154-1088121-f	SP_1154	1088121	+	81	39.51
TIGR4_NEG_SP_1154-1088411-f	SP_1154	1088411	+	81	45.68
TIGR4_NEG_SP_1160-1095784-r	SP_1160	1095784	-	81	49.38
TIGR4_NEG_SP_1160-1095874-r	SP_1160	1095874	-	81	45.68
TIGR4_NEG_SP_1163-1099597-r	SP_1163	1099597	-	81	39.51
TIGR4_NEG_SP_1167-1103213-r	SP_1167	1103213	-	81	41.98
TIGR4_NEG_SP_1174-1108418-r	SP_1174	1108418	-	81	45.68
TIGR4_NEG_SP_1175-1111405-r	SP_1175	1111405	-	81	40.74
TIGR4_NEG_SP_1175-1111445-r	SP_1175	1111445	-	81	43.21
TIGR4_NEG_SP_1175-1111455-r	SP_1175	1111455	-	81	43.21
TIGR4_NEG_SP_1176-1114128-r	SP_1176	1114128	-	81	50.62
TIGR4_NEG_SP_1176-1114448-r	SP_1176	1114448	-	81	44.44
TIGR4_NEG_SP_1179-1117020-f	SP_1179	1117020	+	81	34.57
TIGR4_NEG_SP_1179-1117500-f	SP_1179	1117500	+	81	43.21
TIGR4_NEG_SP_1180-1118787-f	SP_1180	1118787	+	81	46.91
TIGR4_NEG_SP_1182-1120187-f	SP_1182	1120187	+	81	30.86
