Sequence_ID	Locus_Tag	Chromosome	TSS_Position	Strand	Upstream_bp	Downstream_bp	Window_Size	GC_Content	UTR5_Length	Location_Type	Confidence_Sheet	Processed_Coverage	Processed_Ratio
TIGR4_SP_0012_TSS_11779_+	SP_0012	NC_003028.3	11779	+	60	20	81	23.46	33.0	tss_within_coding	High Confidence (TSS_100.4)	4719.0	6.6936170212766
TIGR4_SP_0013_TSS_12161_+	SP_0013	NC_003028.3	12161	+	60	20	81	32.1	209.0	tss_within_coding	Low Confidence (TSS_2.1)	133.0	1.04724409448819
TIGR4_nan_TSS_14006_+	nan	NC_003028.3	14006	+	60	20	81	43.21	NA		Secondary TSS, Low confidence		
TIGR4_SP_0014_TSS_14436_+	SP_0014	NC_003028.3	14436	+	60	20	81	32.1	14.0	tss_intergenic	High Confidence (TSS_100.4)	101.0	11.2222222222222
TIGR4_SP_2242_TSS_15005_+	SP_2242	NC_003028.3	15005	+	60	20	81	25.93	18.0	tss_intergenic	High Confidence (TSS_100.4)	15813.0	90.8793103448276
TIGR4_SP_rrnaA16S_TSS_15198_+	SP_rrnaA16S	NC_003028.3	15198	+	60	20	81	32.1	151.0	tss_intergenic	High Confidence (TSS_100.4)	9466.0	37.2677165354331
TIGR4_SP_2243_TSS_16543_+	SP_2243	NC_003028.3	16543	+	60	20	81	50.62	402.0	tss_within_coding	Low Confidence (TSS_2.1)	1762.0	2.14616321559074
TIGR4_SP_rrnaA23S_TSS_17052_+	SP_rrnaA23S	NC_003028.3	17052	+	60	20	81	40.74	89.0	tss_intergenic	Low Confidence (TSS_2.1)	18081.0	1.64119088681129
TIGR4_5_8S_rRNA_TSS_17144_+	5_8S_rRNA	NC_003028.3	17144	+	60	20	81	34.57	10.0	tss_intergenic	Low Confidence (TSS_2.1)	525774.0	2.81907284484145
TIGR4_SP_rrnaA5S_TSS_20100_+	SP_rrnaA5S	NC_003028.3	20100	+	60	20	81	30.86	20.0	tss_intergenic	High Confidence (TSS_100.4)	539.0	539.0
TIGR4_SP_2244_TSS_20170_+	SP_2244	NC_003028.3	20170	+	60	20	81	49.38	71.0	tss_within_coding	Low Confidence (TSS_2.1)	731.0	1.10090361445783
TIGR4_nan_TSS_20352_+	nan	NC_003028.3	20352	+	60	20	81	34.57	NA		Secondary TSS, High confidence		
TIGR4_SP_RS11515_TSS_20422_+	SP_RS11515	NC_003028.3	20422	+	60	20	81	25.93	0.0	tss_intergenic	High Confidence (TSS_100.4)	5853.0	7.92016238159675
TIGR4_SP_0018_TSS_22292_+	SP_0018	NC_003028.3	22292	+	60	20	81	28.4	67.0	tss_intergenic	Low Confidence (TSS_2.1)	6.0	1.2
TIGR4_SP_0019_TSS_22759_+	SP_0019	NC_003028.3	22759	+	60	20	81	23.46	73.0	tss_intergenic	High Confidence (TSS_100.4)	39490.0	31.3412698412698
TIGR4_csRNA_TSS_24164_+	csRNA	NC_003028.3	24164	+	60	20	81	35.8	1.0	tss_intergenic	Low Confidence (TSS_2.1)	3412.0	2.99298245614035
TIGR4_SP_0020_TSS_24292_+	SP_0020	NC_003028.3	24292	+	60	20	81	34.57	27.0	tss_intergenic	High Confidence (TSS_100.4)	1391.0	1391.0
TIGR4_Bacteria_small_SRP_TSS_24450_+	Bacteria_small_SRP	NC_003028.3	24450	+	60	20	81	43.21	369.0	tss_within_coding	Low Confidence (TSS_2.1)	33.0	1.1
TIGR4_nan_TSS_24827_+	nan	NC_003028.3	24827	+	60	20	81	29.63	NA		Secondary TSS, Low confidence		
TIGR4_SP_0021_TSS_24944_+	SP_0021	NC_003028.3	24944	+	60	20	81	24.69	29.0	tss_intergenic	High Confidence (TSS_100.4)	127.0	5.52173913043478
TIGR4_SP_0022_TSS_25328_+	SP_0022	NC_003028.3	25328	+	60	20	81	44.44	27.0	tss_intergenic	Low Confidence (TSS_2.1)	77.0	1.60416666666667
TIGR4_SP_RS00155_TSS_25834_+	SP_RS00155	NC_003028.3	25834	+	60	20	81	41.98	113.0	tss_within_coding	Low Confidence (TSS_2.1)	162.0	1.06578947368421
TIGR4_SP_0024_TSS_27035_+	SP_0024	NC_003028.3	27035	+	60	20	81	44.44	277.0	tss_within_coding	Low Confidence (TSS_2.1)	110.0	1.02803738317757
TIGR4_SP_0025_TSS_27627_+	SP_0025	NC_003028.3	27627	+	60	20	81	40.74	276.0	tss_within_coding	Low Confidence (TSS_2.1)	132.0	1.056
TIGR4_SP_0026_TSS_28009_+	SP_0026	NC_003028.3	28009	+	60	20	81	43.21	85.0	tss_within_coding	Low Confidence (TSS_2.1)	81.0	1.06578947368421
TIGR4_SP_0027_TSS_28813_+	SP_0027	NC_003028.3	28813	+	60	20	81	34.57	49.0	tss_intergenic	High Confidence (TSS_100.4)	11244.0	34.3853211009174
TIGR4_SP_0032_TSS_31533_+	SP_0032	NC_003028.3	31533	+	60	20	81	28.4	2.0	tss_intergenic	Low Confidence (TSS_2.1)	23.0	11.5
TIGR4_SP_0033_TSS_34234_+	SP_0033	NC_003028.3	34234	+	60	20	81	34.57	19.0	tss_intergenic	High Confidence (TSS_100.4)	179.0	179.0
TIGR4_SP_RS00205_TSS_34544_+	SP_RS00205	NC_003028.3	34544	+	60	20	81	43.21	187.0	tss_within_coding	Low Confidence (TSS_2.1)	17.0	17.0
TIGR4_SP_0035_TSS_36144_+	SP_0035	NC_003028.3	36144	+	60	20	81	38.27	24.0	tss_intergenic	High Confidence (TSS_100.4)	3258.0	13.4074074074074
TIGR4_SP_0036_TSS_37217_+	SP_0036	NC_003028.3	37217	+	60	20	81	46.91	117.0	tss_within_coding	Low Confidence (TSS_2.1)	34.0	1.47826086956522
TIGR4_SP_0037_TSS_37945_+	SP_0037	NC_003028.3	37945	+	60	20	81	38.27	156.0	tss_within_coding	Low Confidence (TSS_2.1)	167.0	1.03726708074534
TIGR4_SP_0038_TSS_38922_+	SP_0038	NC_003028.3	38922	+	60	20	81	45.68	177.0	tss_within_coding	Low Confidence (TSS_2.1)	486.0	1.0020618556701
TIGR4_SP_0039_TSS_39278_+	SP_0039	NC_003028.3	39278	+	60	20	81	37.04	85.0	tss_within_coding	Low Confidence (TSS_2.1)	160.0	1.0958904109589
TIGR4_SP_0041_TSS_39821_+	SP_0041	NC_003028.3	39821	+	60	20	81	27.16	50.0	tss_intergenic	High Confidence (TSS_100.4)	4381.0	5.46941323345818
TIGR4_F52_TSS_39890_+	F52	NC_003028.3	39890	+	60	20	81	23.46	446.0	tss_within_coding	Low Confidence (TSS_2.1)	277.0	1.01094890510949
TIGR4_SP_0042_TSS_40417_+	SP_0042	NC_003028.3	40417	+	60	20	81	33.33	399.0	tss_intergenic	Low Confidence (TSS_2.1)	50.0	1.04166666666667
TIGR4_SP_0043_TSS_42619_+	SP_0043	NC_003028.3	42619	+	60	20	81	55.56	363.0	tss_within_coding	Low Confidence (TSS_2.1)	21.0	3.0
TIGR4_SP_RS11535_TSS_44895_+	SP_RS11535	NC_003028.3	44895	+	60	20	81	34.57	315.0	tss_within_coding	Low Confidence (TSS_2.1)	44.0	1.41935483870968
TIGR4_SP_0045_TSS_45298_+	SP_0045	NC_003028.3	45298	+	60	20	81	44.44	112.0	tss_within_coding	Low Confidence (TSS_2.1)	25.0	1.13636363636364
TIGR4_SP_0047_TSS_50532_+	SP_0047	NC_003028.3	50532	+	60	20	81	41.98	357.0	tss_within_coding	Low Confidence (TSS_2.1)	31.0	1.40909090909091
TIGR4_SP_0048_TSS_51677_+	SP_0048	NC_003028.3	51677	+	60	20	81	45.68	231.0	tss_within_coding	Low Confidence (TSS_2.1)	20.0	1.05263157894737
TIGR4_SP_0049_TSS_52192_+	SP_0049	NC_003028.3	52192	+	60	20	81	44.44	345.0	tss_within_coding	Low Confidence (TSS_2.1)	17.0	3.4
TIGR4_SP_0050_TSS_52882_+	SP_0050	NC_003028.3	52882	+	60	20	81	27.16	189.0	tss_within_coding	Low Confidence (TSS_2.1)	74.0	1.19354838709677
TIGR4_SP_0051_TSS_54713_+	SP_0051	NC_003028.3	54713	+	60	20	81	25.93	27.0	tss_intergenic	High Confidence (TSS_100.4)	2675.0	10.7429718875502
TIGR4_SP_RS11540_TSS_55912_+	SP_RS11540	NC_003028.3	55912	+	60	20	81	49.38	163.0	tss_within_coding	Low Confidence (TSS_2.1)	111.0	1.12121212121212
TIGR4_SP_0052_TSS_56245_+	SP_0052	NC_003028.3	56245	+	60	20	81	39.51	14.0	tss_intergenic	Low Confidence (TSS_2.1)	29.0	1.26086956521739
TIGR4_SSRC8_2_TSS_56290_+	SSRC8_2	NC_003028.3	56290	+	60	20	81	41.98	8.0	tss_intergenic	Low Confidence (TSS_2.1)	4.0	2.0
TIGR4_SP_0053_TSS_56391_+	SP_0053	NC_003028.3	56391	+	60	20	81	45.68	14.0	tss_intergenic	Low Confidence (TSS_2.1)	9.0	1.0
TIGR4_SP_0054_TSS_56712_+	SP_0054	NC_003028.3	56712	+	60	20	81	51.85	168.0	tss_within_coding	Low Confidence (TSS_2.1)	38.0	1.80952380952381
TIGR4_SP_0055_TSS_57883_+	SP_0055	NC_003028.3	57883	+	60	20	81	39.51	98.0	tss_within_coding	High Confidence (TSS_100.4)	22552.0	9.22749590834697
TIGR4_nan_TSS_58074_+	nan	NC_003028.3	58074	+	60	20	81	38.27	NA		Secondary TSS, Low confidence		
TIGR4_SP_0056_TSS_58183_+	SP_0056	NC_003028.3	58183	+	60	20	81	38.27	88.0	tss_within_coding	High Confidence (TSS_100.4)	181.0	181.0
TIGR4_SP_0060_TSS_64910_+	SP_0060	NC_003028.3	64910	+	60	20	81	28.4	45.0	tss_intergenic	High Confidence (TSS_100.4)	498.0	10.1632653061224
TIGR4_SP_0065_TSS_69546_+	SP_0065	NC_003028.3	69546	+	60	20	81	46.91	114.0	tss_intergenic	Low Confidence (TSS_2.1)	14.0	14.0
TIGR4_SP_RS00370_TSS_72059_+	SP_RS00370	NC_003028.3	72059	+	60	20	81	34.57	82.0	tss_intergenic	Low Confidence (TSS_2.1)	8.0	8.0
TIGR4_SP_0071_TSS_73652_+	SP_0071	NC_003028.3	73652	+	60	20	81	19.75	109.0	tss_intergenic	High Confidence (TSS_100.4)	599.0	5.87254901960784
TIGR4_trn0027_TSS_78983_+	trn0027	NC_003028.3	78983	+	60	20	81	44.44	353.0	tss_within_coding	Low Confidence (TSS_2.1)	66.0	1.32
TIGR4_SP_0073_TSS_79653_+	SP_0073	NC_003028.3	79653	+	60	20	81	32.1	34.0	tss_intergenic	Low Confidence (TSS_2.1)	79.0	4.64705882352941
TIGR4_SP_0074_TSS_80628_+	SP_0074	NC_003028.3	80628	+	60	20	81	30.86	19.0	tss_intergenic	High Confidence (TSS_100.4)	3527.0	11.2324840764331
TIGR4_SP_0075_TSS_81400_+	SP_0075	NC_003028.3	81400	+	60	20	81	41.98	21.0	tss_intergenic	High Confidence (TSS_100.4)	458.0	6.27397260273973
TIGR4_SP_0079_TSS_84161_+	SP_0079	NC_003028.3	84161	+	60	20	81	30.86	30.0	tss_within_coding	Low Confidence (TSS_2.1)	249.0	1.06410256410256
TIGR4_SP_RS11555_TSS_84967_+	SP_RS11555	NC_003028.3	84967	+	60	20	81	37.04	24.0	tss_intergenic	High Confidence (TSS_100.4)	637.0	6.18446601941748
TIGR4_SP_RS00415_TSS_85059_+	SP_RS00415	NC_003028.3	85059	+	60	20	81	41.98	107.0	tss_within_coding	Low Confidence (TSS_2.1)	19.0	1.11764705882353
TIGR4_SP_RS00420_TSS_85472_+	SP_RS00420	NC_003028.3	85472	+	60	20	81	41.98	300.0	tss_within_coding	Low Confidence (TSS_2.1)	24.0	1.0
TIGR4_SP_0082_TSS_86266_+	SP_0082	NC_003028.3	86266	+	60	20	81	23.46	32.0	tss_intergenic	Low Confidence (TSS_2.1)	52.0	5.2
TIGR4_SP_0083_TSS_89005_+	SP_0083	NC_003028.3	89005	+	60	20	81	24.69	33.0	tss_intergenic	High Confidence (TSS_100.4)	1867.0	7.68312757201646
TIGR4_SP_0084_TSS_89312_+	SP_0084	NC_003028.3	89312	+	60	20	81	48.15	421.0	tss_within_coding	Low Confidence (TSS_2.1)	83.0	1.01219512195122
TIGR4_SP_0085_TSS_90828_+	SP_0085	NC_003028.3	90828	+	60	20	81	33.33	152.0	tss_intergenic	High Confidence (TSS_100.4)	19203.0	30.7740384615385
TIGR4_SpF01_sRNA_TSS_91266_+	SpF01_sRNA	NC_003028.3	91266	+	60	20	81	39.51	327.0	tss_within_coding	High Confidence (TSS_100.4)	341.0	341.0
TIGR4_nan_TSS_91398_+	nan	NC_003028.3	91398	+	60	20	81	45.68	NA		Secondary TSS, High confidence		
TIGR4_SP_0086_TSS_91769_+	SP_0086	NC_003028.3	91769	+	60	20	81	27.16	0.0	tss_intergenic	High Confidence (TSS_100.4)	9247.0	5.75062189054726
TIGR4_SP_0088_TSS_92142_+	SP_0088	NC_003028.3	92142	+	60	20	81	30.86	94.0	tss_intergenic	Low Confidence (TSS_2.1)	66.0	66.0
TIGR4_SP_RS00455_TSS_92364_+	SP_RS00455	NC_003028.3	92364	+	60	20	81	39.51	95.0	tss_within_coding	Low Confidence (TSS_2.1)	119.0	1.72463768115942
TIGR4_SP_0090_TSS_92933_+	SP_0090	NC_003028.3	92933	+	60	20	81	28.4	66.0	tss_intergenic	High Confidence (TSS_100.4)	158.0	9.875
TIGR4_SP_0095_TSS_96820_+	SP_0095	NC_003028.3	96820	+	60	20	81	28.4	50.0	tss_intergenic	High Confidence (TSS_100.4)	7575.0	12.6460767946578
TIGR4_SP_RS11560_TSS_97471_+	SP_RS11560	NC_003028.3	97471	+	60	20	81	50.62	445.0	tss_within_coding	Low Confidence (TSS_2.1)	298.0	1.0
TIGR4_SP_0096_TSS_98106_+	SP_0096	NC_003028.3	98106	+	60	20	81	28.4	25.0	tss_within_coding	Low Confidence (TSS_2.1)	93.0	5.47058823529412
TIGR4_SP_0102_TSS_103467_+	SP_0102	NC_003028.3	103467	+	60	20	81	28.4	2.0	tss_intergenic	Low Confidence (TSS_2.1)	2.0	2.0
TIGR4_SP_0103_TSS_104634_+	SP_0103	NC_003028.3	104634	+	60	20	81	19.75	34.0	tss_intergenic	Low Confidence (TSS_2.1)	301.0	2.89423076923077
TIGR4_F2_TSS_106253_+	F2	NC_003028.3	106253	+	60	20	81	44.44	280.0	tss_within_coding	Low Confidence (TSS_2.1)	62.0	62.0
TIGR4_SP_0107_TSS_109379_+	SP_0107	NC_003028.3	109379	+	60	20	81	27.16	25.0	tss_intergenic	High Confidence (TSS_100.4)	15419.0	4.44736083068936
TIGR4_SP_0109_TSS_110516_+	SP_0109	NC_003028.3	110516	+	60	20	81	25.93	278.0	tss_intergenic	Low Confidence (TSS_2.1)	6877.0	3.5485036119711
TIGR4_SP_0112_TSS_114051_+	SP_0112	NC_003028.3	114051	+	60	20	81	22.22	35.0	tss_intergenic	Low Confidence (TSS_2.1)	6.0	6.0
TIGR4_SP_0113_TSS_114784_+	SP_0113	NC_003028.3	114784	+	60	20	81	40.74	125.0	tss_within_coding	Low Confidence (TSS_2.1)	18.0	1.5
TIGR4_SP_0115_TSS_116209_+	SP_0115	NC_003028.3	116209	+	60	20	81	28.4	384.0	tss_intergenic	Low Confidence (TSS_2.1)	27.0	1.125
TIGR4_SP_RS11565_TSS_116649_+	SP_RS11565	NC_003028.3	116649	+	60	20	81	38.27	326.0	tss_within_coding	Low Confidence (TSS_2.1)	250.0	1.14678899082569
TIGR4_SP_0116_TSS_117313_+	SP_0116	NC_003028.3	117313	+	60	20	81	24.69	318.0	tss_intergenic	Low Confidence (TSS_2.1)	3.0	3.0
TIGR4_F4_TSS_118101_+	F4	NC_003028.3	118101	+	60	20	81	32.1	17.0	tss_intergenic	Low Confidence (TSS_2.1)	5.0	5.0
TIGR4_SP_0117_TSS_118380_+	SP_0117	NC_003028.3	118380	+	60	20	81	22.22	43.0	tss_intergenic	High Confidence (TSS_100.4)	34656.0	16.0
TIGR4_F5_TSS_120198_+	F5	NC_003028.3	120198	+	60	20	81	38.27	480.0	tss_within_coding	High Confidence (TSS_100.4)	215.0	215.0
TIGR4_trn0052_TSS_120744_+	trn0052	NC_003028.3	120744	+	60	20	81	25.93	22.0	tss_intergenic	Low Confidence (TSS_2.1)	8.0	8.0
TIGR4_SP_0118_TSS_120985_+	SP_0118	NC_003028.3	120985	+	60	20	81	35.8	73.0	tss_intergenic	High Confidence (TSS_100.4)	8087.0	26.0032154340836
TIGR4_Spd-sr37_TSS_122215_+	Spd-sr37	NC_003028.3	122215	+	60	20	81	29.63	2.0	tss_intergenic	High Confidence (TSS_100.4)	6486.0	10.150234741784
TIGR4_SP_0120_TSS_122466_+	SP_0120	NC_003028.3	122466	+	60	20	81	44.44	319.0	tss_within_coding	Low Confidence (TSS_2.1)	104.0	1.3
TIGR4_SP_0127_TSS_128277_+	SP_0127	NC_003028.3	128277	+	60	20	81	39.51	23.0	tss_intergenic	High Confidence (TSS_100.4)	1072.0	5.8579235
TIGR4_SP_0128_TSS_128716_+	SP_0128	NC_003028.3	128716	+	60	20	81	39.51	264.0	tss_within_coding	Low Confidence (TSS_2.1)	20.0	1.0
TIGR4_SP_0129_TSS_129159_+	SP_0129	NC_003028.3	129159	+	60	20	81	44.44	248.0	tss_within_coding	High Confidence (TSS_100.4)	130.0	130.0
TIGR4_nan_TSS_129217_+	nan	NC_003028.3	129217	+	60	20	81	49.38	NA		Secondary TSS, Low confidence		
TIGR4_F6_TSS_130197_+	F6	NC_003028.3	130197	+	60	20	81	41.98	242.0	tss_within_coding	Low Confidence (TSS_2.1)	29.0	1.0
TIGR4_SP_0133_TSS_132900_+	SP_0133	NC_003028.3	132900	+	60	20	81	33.33	124.0	tss_intergenic	Low Confidence (TSS_2.1)	5.0	1.66666666666667
TIGR4_SP_0134_TSS_133565_+	SP_0134	NC_003028.3	133565	+	60	20	81	25.93	0.0	tss_intergenic	Low Confidence (TSS_2.1)	19.0	2.375
TIGR4_SP_0136_TSS_134022_+	SP_0136	NC_003028.3	134022	+	60	20	81	38.27	209.0	tss_within_coding	Low Confidence (TSS_2.1)	30.0	1.07142857142857
TIGR4_SP_0137_TSS_134856_+	SP_0137	NC_003028.3	134856	+	60	20	81	32.1	337.0	tss_within_coding	Low Confidence (TSS_2.1)	16.0	1.0
TIGR4_SP_0141_TSS_139528_+	SP_0141	NC_003028.3	139528	+	60	20	81	19.75	311.0	tss_intergenic	High Confidence (TSS_100.4)	453.0	15.1
TIGR4_nan_TSS_139819_+	nan	NC_003028.3	139819	+	60	20	81	25.93	NA		Secondary TSS, High confidence		
TIGR4_SP_0142_TSS_140916_+	SP_0142	NC_003028.3	140916	+	60	20	81	29.63	72.0	tss_intergenic	High Confidence (TSS_100.4)	3729.0	5.20810055865922
TIGR4_SP_0143_TSS_141068_+	SP_0143	NC_003028.3	141068	+	60	20	81	44.44	175.0	tss_within_coding	Low Confidence (TSS_2.1)	175.0	1.15131578947368
TIGR4_SP_0144_TSS_141450_+	SP_0144	NC_003028.3	141450	+	60	20	81	39.51	482.0	tss_within_coding	Low Confidence (TSS_2.1)	34.0	1.0
TIGR4_srn026_TSS_144176_+	srn026	NC_003028.3	144176	+	60	20	81	44.44	41.0	tss_intergenic	Low Confidence (TSS_2.1)	3.0	3.0
TIGR4_SP_0147_TSS_144950_+	SP_0147	NC_003028.3	144950	+	60	20	81	41.98	136.0	tss_within_coding	Low Confidence (TSS_2.1)	14.0	2.0
TIGR4_SP_0148_TSS_145489_+	SP_0148	NC_003028.3	145489	+	60	20	81	28.4	24.0	tss_intergenic	High Confidence (TSS_100.4)	14415.0	14415.0
TIGR4_SP_0149_TSS_146472_+	SP_0149	NC_003028.3	146472	+	60	20	81	25.93	25.0	tss_intergenic	High Confidence (TSS_100.4)	5360.0	12.7923627684964
TIGR4_SP_0150_TSS_147159_+	SP_0150	NC_003028.3	147159	+	60	20	81	38.27	292.0	tss_within_coding	Low Confidence (TSS_2.1)	59.0	1.01724137931034
TIGR4_SP_0151_TSS_148541_+	SP_0151	NC_003028.3	148541	+	60	20	81	35.8	276.0	tss_within_coding	High Confidence (TSS_100.4)	4144.0	4.98076923076923
TIGR4_SP_0152_TSS_149421_+	SP_0152	NC_003028.3	149421	+	60	20	81	38.27	459.0	tss_within_coding	Low Confidence (TSS_2.1)	66.0	1.15789473684211
TIGR4_SP_0154_TSS_151283_+	SP_0154	NC_003028.3	151283	+	60	20	81	28.4	23.0	tss_intergenic	High Confidence (TSS_100.4)	291.0	5.49056603773585
TIGR4_SP_0155_TSS_151895_+	SP_0155	NC_003028.3	151895	+	60	20	81	37.04	3.0	tss_intergenic	Low Confidence (TSS_2.1)	8.0	1.0
TIGR4_SP_0156_TSS_153426_+	SP_0156	NC_003028.3	153426	+	60	20	81	38.27	154.0	tss_within_coding	Low Confidence (TSS_2.1)	53.0	1.51428571428571
TIGR4_SP_0157_TSS_154437_+	SP_0157	NC_003028.3	154437	+	60	20	81	34.57	433.0	tss_within_coding	Low Confidence (TSS_2.1)	18.0	3.0
TIGR4_SP_0158_TSS_155490_+	SP_0158	NC_003028.3	155490	+	60	20	81	29.63	39.0	tss_intergenic	High Confidence (TSS_100.4)	2285.0	4.0299823633157
TIGR4_SP_RS11585_TSS_155702_+	SP_RS11585	NC_003028.3	155702	+	60	20	81	39.51	304.0	tss_within_coding	Low Confidence (TSS_2.1)	144.0	1.33333333333333
TIGR4_SP_0162_TSS_158823_+	SP_0162	NC_003028.3	158823	+	60	20	81	34.57	26.0	tss_intergenic	Low Confidence (TSS_2.1)	4.0	4.0
TIGR4_SP_0165_TSS_160189_+	SP_0165	NC_003028.3	160189	+	60	20	81	22.22	195.0	tss_intergenic	Low Confidence (TSS_2.1)	115.0	3.83333333333333
TIGR4_SP_0166_TSS_160919_+	SP_0166	NC_003028.3	160919	+	60	20	81	32.1	243.0	tss_within_coding	Low Confidence (TSS_2.1)	427.0	1.05432098765432
TIGR4_SP_0167_TSS_161833_+	SP_0167	NC_003028.3	161833	+	60	20	81	27.16	411.0	tss_within_coding	Low Confidence (TSS_2.1)	20.0	1.05263157894737
TIGR4_SP_RS11595_TSS_164845_+	SP_RS11595	NC_003028.3	164845	+	60	20	81	22.22	3.0	tss_intergenic	Low Confidence (TSS_2.1)	6.0	6.0
TIGR4_SP_0171_TSS_164878_+	SP_0171	NC_003028.3	164878	+	60	20	81	29.63	357.0	tss_within_coding	Low Confidence (TSS_2.1)	14.0	3.5
TIGR4_SP_RS11605_TSS_165576_+	SP_RS11605	NC_003028.3	165576	+	60	20	81	37.04	59.0	tss_intergenic	Low Confidence (TSS_2.1)	7.0	7.0
TIGR4_SP_0179_TSS_171819_+	SP_0179	NC_003028.3	171819	+	60	20	81	32.1	24.0	tss_intergenic	High Confidence (TSS_100.4)	1316.0	6.32692308
TIGR4_SP_0180_TSS_172225_+	SP_0180	NC_003028.3	172225	+	60	20	81	48.15	221.0	tss_within_coding	Low Confidence (TSS_2.1)	66.0	1.0
TIGR4_SP_0181_TSS_172512_+	SP_0181	NC_003028.3	172512	+	60	20	81	54.32	494.0	tss_within_coding	Low Confidence (TSS_2.1)	27.0	1.03846153846154
TIGR4_SP_0186_TSS_176853_+	SP_0186	NC_003028.3	176853	+	60	20	81	32.1	24.0	tss_intergenic	High Confidence (TSS_100.4)	813.0	6.66393442622951
TIGR4_SP_0187_TSS_179462_+	SP_0187	NC_003028.3	179462	+	60	20	81	48.15	239.0	tss_within_coding	Low Confidence (TSS_2.1)	190.0	1.24183006535948
TIGR4_SP_0188_TSS_180569_+	SP_0188	NC_003028.3	180569	+	60	20	81	44.44	198.0	tss_within_coding	Low Confidence (TSS_2.1)	19.0	1.11764705882353
TIGR4_SP_0189_TSS_180869_+	SP_0189	NC_003028.3	180869	+	60	20	81	33.33	25.0	tss_intergenic	High Confidence (TSS_100.4)	37768.0	6.12719013627515
TIGR4_SP_0191_TSS_181357_+	SP_0191	NC_003028.3	181357	+	60	20	81	30.86	1.0	tss_intergenic	High Confidence (TSS_100.4)	109.0	109.0
TIGR4_SP_0192_TSS_181990_+	SP_0192	NC_003028.3	181990	+	60	20	81	33.33	24.0	tss_intergenic	High Confidence (TSS_100.4)	17862.0	7.58471337579618
TIGR4_SP_RS00945_TSS_182282_+	SP_RS00945	NC_003028.3	182282	+	60	20	81	40.74	2.0	tss_intergenic	Low Confidence (TSS_2.1)	563.0	1.03683241252302
TIGR4_SP_0194_TSS_182571_+	SP_0194	NC_003028.3	182571	+	60	20	81	45.68	148.0	tss_within_coding	High Confidence (TSS_100.4)	6569.0	6569.0
TIGR4_nan_TSS_182690_+	nan	NC_003028.3	182690	+	60	20	81	25.93	NA		Secondary TSS, High confidence		
TIGR4_SP_0197_TSS_182815_+	SP_0197	NC_003028.3	182815	+	60	20	81	32.1	462.0	tss_within_coding	High Confidence (TSS_100.4)	198.0	198.0
TIGR4_SP_0198_TSS_184176_+	SP_0198	NC_003028.3	184176	+	60	20	81	53.09	354.0	tss_within_coding	Low Confidence (TSS_2.1)	54.0	1.25581395348837
TIGR4_nan_TSS_184820_+	nan	NC_003028.3	184820	+	60	20	81	48.15	NA		Secondary TSS, Low confidence		
TIGR4_SP_0199_TSS_185181_+	SP_0199	NC_003028.3	185181	+	60	20	81	30.86	40.0	tss_intergenic	High Confidence (TSS_100.4)	107.0	5.35
TIGR4_SP_0200_TSS_186987_+	SP_0200	NC_003028.3	186987	+	60	20	81	37.04	24.0	tss_intergenic	High Confidence (TSS_100.4)	7960.0	12.9220779220779
TIGR4_SP_0202_TSS_188640_+	SP_0202	NC_003028.3	188640	+	60	20	81	20.99	24.0	tss_intergenic	High Confidence (TSS_100.4)	3234.0	9.29310344827586
