Sequence_ID	Locus_Tag	Chromosome	TSS_Position	Strand	Upstream_bp	Downstream_bp	Window_Size	GC_Content	UTR5_Length	Location_Type	Confidence_Sheet	Processed_Coverage	Processed_Ratio
TIGR4_SP_0074_TSS_80628_+	SP_0074	NC_003028.3	80628	+	60	20	81	30.86	19.0	tss_intergenic	High Confidence (TSS_100.4)	3527.0	11.2324840764331
TIGR4_SP_0075_TSS_81400_+	SP_0075	NC_003028.3	81400	+	60	20	81	41.98	21.0	tss_intergenic	High Confidence (TSS_100.4)	458.0	6.27397260273973
TIGR4_SP_RS11555_TSS_84967_+	SP_RS11555	NC_003028.3	84967	+	60	20	81	37.04	24.0	tss_intergenic	High Confidence (TSS_100.4)	637.0	6.18446601941748
TIGR4_SP_0083_TSS_89005_+	SP_0083	NC_003028.3	89005	+	60	20	81	24.69	33.0	tss_intergenic	High Confidence (TSS_100.4)	1867.0	7.68312757201646
TIGR4_SP_0085_TSS_90828_+	SP_0085	NC_003028.3	90828	+	60	20	81	33.33	152.0	tss_intergenic	High Confidence (TSS_100.4)	19203.0	30.7740384615385
TIGR4_SpF01_sRNA_TSS_91266_+	SpF01_sRNA	NC_003028.3	91266	+	60	20	81	39.51	327.0	tss_within_coding	High Confidence (TSS_100.4)	341.0	341.0
TIGR4_nan_TSS_91398_+	nan	NC_003028.3	91398	+	60	20	81	45.68	NA		Secondary TSS, High confidence		
TIGR4_SP_0086_TSS_91769_+	SP_0086	NC_003028.3	91769	+	60	20	81	27.16	0.0	tss_intergenic	High Confidence (TSS_100.4)	9247.0	5.75062189054726
TIGR4_SP_0090_TSS_92933_+	SP_0090	NC_003028.3	92933	+	60	20	81	28.4	66.0	tss_intergenic	High Confidence (TSS_100.4)	158.0	9.875
TIGR4_SP_0095_TSS_96820_+	SP_0095	NC_003028.3	96820	+	60	20	81	28.4	50.0	tss_intergenic	High Confidence (TSS_100.4)	7575.0	12.6460767946578
TIGR4_SP_0107_TSS_109379_+	SP_0107	NC_003028.3	109379	+	60	20	81	27.16	25.0	tss_intergenic	High Confidence (TSS_100.4)	15419.0	4.44736083068936
TIGR4_SP_0117_TSS_118380_+	SP_0117	NC_003028.3	118380	+	60	20	81	22.22	43.0	tss_intergenic	High Confidence (TSS_100.4)	34656.0	16.0
TIGR4_F5_TSS_120198_+	F5	NC_003028.3	120198	+	60	20	81	38.27	480.0	tss_within_coding	High Confidence (TSS_100.4)	215.0	215.0
TIGR4_SP_0118_TSS_120985_+	SP_0118	NC_003028.3	120985	+	60	20	81	35.8	73.0	tss_intergenic	High Confidence (TSS_100.4)	8087.0	26.0032154340836
TIGR4_Spd-sr37_TSS_122215_+	Spd-sr37	NC_003028.3	122215	+	60	20	81	29.63	2.0	tss_intergenic	High Confidence (TSS_100.4)	6486.0	10.150234741784
TIGR4_SP_0127_TSS_128277_+	SP_0127	NC_003028.3	128277	+	60	20	81	39.51	23.0	tss_intergenic	High Confidence (TSS_100.4)	1072.0	5.8579235
TIGR4_SP_0129_TSS_129159_+	SP_0129	NC_003028.3	129159	+	60	20	81	44.44	248.0	tss_within_coding	High Confidence (TSS_100.4)	130.0	130.0
TIGR4_SP_0141_TSS_139528_+	SP_0141	NC_003028.3	139528	+	60	20	81	19.75	311.0	tss_intergenic	High Confidence (TSS_100.4)	453.0	15.1
TIGR4_nan_TSS_139819_+	nan	NC_003028.3	139819	+	60	20	81	25.93	NA		Secondary TSS, High confidence		
TIGR4_SP_0142_TSS_140916_+	SP_0142	NC_003028.3	140916	+	60	20	81	29.63	72.0	tss_intergenic	High Confidence (TSS_100.4)	3729.0	5.20810055865922
TIGR4_SP_0148_TSS_145489_+	SP_0148	NC_003028.3	145489	+	60	20	81	28.4	24.0	tss_intergenic	High Confidence (TSS_100.4)	14415.0	14415.0
TIGR4_SP_0149_TSS_146472_+	SP_0149	NC_003028.3	146472	+	60	20	81	25.93	25.0	tss_intergenic	High Confidence (TSS_100.4)	5360.0	12.7923627684964
TIGR4_SP_0151_TSS_148541_+	SP_0151	NC_003028.3	148541	+	60	20	81	35.8	276.0	tss_within_coding	High Confidence (TSS_100.4)	4144.0	4.98076923076923
TIGR4_SP_0154_TSS_151283_+	SP_0154	NC_003028.3	151283	+	60	20	81	28.4	23.0	tss_intergenic	High Confidence (TSS_100.4)	291.0	5.49056603773585
TIGR4_SP_0158_TSS_155490_+	SP_0158	NC_003028.3	155490	+	60	20	81	29.63	39.0	tss_intergenic	High Confidence (TSS_100.4)	2285.0	4.0299823633157
TIGR4_SP_0179_TSS_171819_+	SP_0179	NC_003028.3	171819	+	60	20	81	32.1	24.0	tss_intergenic	High Confidence (TSS_100.4)	1316.0	6.32692308
TIGR4_SP_0186_TSS_176853_+	SP_0186	NC_003028.3	176853	+	60	20	81	32.1	24.0	tss_intergenic	High Confidence (TSS_100.4)	813.0	6.66393442622951
TIGR4_SP_0189_TSS_180869_+	SP_0189	NC_003028.3	180869	+	60	20	81	33.33	25.0	tss_intergenic	High Confidence (TSS_100.4)	37768.0	6.12719013627515
TIGR4_SP_0191_TSS_181357_+	SP_0191	NC_003028.3	181357	+	60	20	81	30.86	1.0	tss_intergenic	High Confidence (TSS_100.4)	109.0	109.0
TIGR4_SP_0192_TSS_181990_+	SP_0192	NC_003028.3	181990	+	60	20	81	33.33	24.0	tss_intergenic	High Confidence (TSS_100.4)	17862.0	7.58471337579618
TIGR4_SP_0194_TSS_182571_+	SP_0194	NC_003028.3	182571	+	60	20	81	45.68	148.0	tss_within_coding	High Confidence (TSS_100.4)	6569.0	6569.0
TIGR4_nan_TSS_182690_+	nan	NC_003028.3	182690	+	60	20	81	25.93	NA		Secondary TSS, High confidence		
TIGR4_SP_0197_TSS_182815_+	SP_0197	NC_003028.3	182815	+	60	20	81	32.1	462.0	tss_within_coding	High Confidence (TSS_100.4)	198.0	198.0
TIGR4_SP_0199_TSS_185181_+	SP_0199	NC_003028.3	185181	+	60	20	81	30.86	40.0	tss_intergenic	High Confidence (TSS_100.4)	107.0	5.35
TIGR4_SP_0200_TSS_186987_+	SP_0200	NC_003028.3	186987	+	60	20	81	37.04	24.0	tss_intergenic	High Confidence (TSS_100.4)	7960.0	12.9220779220779
TIGR4_SP_0202_TSS_188640_+	SP_0202	NC_003028.3	188640	+	60	20	81	20.99	24.0	tss_intergenic	High Confidence (TSS_100.4)	3234.0	9.29310344827586
TIGR4_SP_0206_TSS_192019_+	SP_0206	NC_003028.3	192019	+	60	20	81	37.04	140.0	tss_within_coding	High Confidence (TSS_100.4)	131.0	6.89473684210526
TIGR4_SP_0208_TSS_192910_+	SP_0208	NC_003028.3	192910	+	60	20	81	38.27	132.0	tss_intergenic	High Confidence (TSS_100.4)	6375.0	5.41171477079796
TIGR4_nan_TSS_193269_+	nan	NC_003028.3	193269	+	60	20	81	37.04	NA		Secondary TSS, High confidence		
TIGR4_SP_0209_TSS_193352_+	SP_0209	NC_003028.3	193352	+	60	20	81	32.1	215.0	tss_intergenic	High Confidence (TSS_100.4)	279.0	279.0
TIGR4_SP_0212_TSS_194878_+	SP_0212	NC_003028.3	194878	+	60	20	81	35.8	277.0	tss_within_coding	High Confidence (TSS_100.4)	174.0	174.0
TIGR4_SP_0213_TSS_196070_+	SP_0213	NC_003028.3	196070	+	60	20	81	44.44	22.0	tss_intergenic	High Confidence (TSS_100.4)	1996.0	1996.0
TIGR4_SP_0215_TSS_196402_+	SP_0215	NC_003028.3	196402	+	60	20	81	39.51	340.0	tss_within_coding	High Confidence (TSS_100.4)	949.0	949.0
TIGR4_nan_TSS_196728_+	nan	NC_003028.3	196728	+	60	20	81	43.21	NA		Secondary TSS, High confidence		
TIGR4_SP_0216_TSS_197068_+	SP_0216	NC_003028.3	197068	+	60	20	81	37.04	331.0	tss_within_coding	High Confidence (TSS_100.4)	1547.0	1547.0
TIGR4_SP_0217_TSS_197575_+	SP_0217	NC_003028.3	197575	+	60	20	81	48.15	247.0	tss_within_coding	High Confidence (TSS_100.4)	2473.0	2473.0
TIGR4_SP_0218_TSS_197877_+	SP_0218	NC_003028.3	197877	+	60	20	81	37.04	176.0	tss_within_coding	High Confidence (TSS_100.4)	412.0	412.0
TIGR4_SP_0219_TSS_198091_+	SP_0219	NC_003028.3	198091	+	60	20	81	38.27	248.0	tss_within_coding	High Confidence (TSS_100.4)	631.0	631.0
TIGR4_nan_TSS_198270_+	nan	NC_003028.3	198270	+	60	20	81	45.68	NA		Secondary TSS, High confidence		
TIGR4_SP_0220_TSS_198578_+	SP_0220	NC_003028.3	198578	+	60	20	81	40.74	207.0	tss_within_coding	High Confidence (TSS_100.4)	374.0	374.0
TIGR4_SP_0221_TSS_198873_+	SP_0221	NC_003028.3	198873	+	60	20	81	41.98	241.0	tss_within_coding	High Confidence (TSS_100.4)	1577.0	1577.0
TIGR4_SP_0222_TSS_199478_+	SP_0222	NC_003028.3	199478	+	60	20	81	44.44	196.0	tss_within_coding	High Confidence (TSS_100.4)	751.0	751.0
TIGR4_SP_0224_TSS_200134_+	SP_0224	NC_003028.3	200134	+	60	20	81	40.74	94.0	tss_intergenic	High Confidence (TSS_100.4)	533.0	533.0
TIGR4_nan_TSS_200176_+	nan	NC_003028.3	200176	+	60	20	81	37.04	NA		Secondary TSS, High confidence		
TIGR4_SP_0225_TSS_200748_+	SP_0225	NC_003028.3	200748	+	60	20	81	38.27	70.0	tss_intergenic	High Confidence (TSS_100.4)	797.0	797.0
TIGR4_SP_0226_TSS_201386_+	SP_0226	NC_003028.3	201386	+	60	20	81	38.27	52.0	tss_intergenic	High Confidence (TSS_100.4)	156.0	156.0
TIGR4_SP_0227_TSS_201577_+	SP_0227	NC_003028.3	201577	+	60	20	81	49.38	235.0	tss_within_coding	High Confidence (TSS_100.4)	1469.0	1469.0
TIGR4_nan_TSS_201671_+	nan	NC_003028.3	201671	+	60	20	81	41.98	NA		Secondary TSS, High confidence		
TIGR4_SP_0228_TSS_202064_+	SP_0228	NC_003028.3	202064	+	60	20	81	41.98	214.0	tss_within_coding	High Confidence (TSS_100.4)	268.0	268.0
TIGR4_srn049_TSS_202335_+	srn049	NC_003028.3	202335	+	60	20	81	33.33	184.0	tss_within_coding	High Confidence (TSS_100.4)	253.0	253.0
TIGR4_SP_0229_TSS_202623_+	SP_0229	NC_003028.3	202623	+	60	20	81	44.44	24.0	tss_intergenic	High Confidence (TSS_100.4)	137.0	137.0
TIGR4_SP_0231_TSS_204269_+	SP_0231	NC_003028.3	204269	+	60	20	81	40.74	292.0	tss_within_coding	High Confidence (TSS_100.4)	149.0	149.0
TIGR4_SP_0232_TSS_205249_+	SP_0232	NC_003028.3	205249	+	60	20	81	30.86	67.0	tss_intergenic	High Confidence (TSS_100.4)	333371.0	13.118644734771
TIGR4_SP_0233_TSS_205539_+	SP_0233	NC_003028.3	205539	+	60	20	81	38.27	20.0	tss_intergenic	High Confidence (TSS_100.4)	409.0	409.0
TIGR4_nan_TSS_205685_+	nan	NC_003028.3	205685	+	60	20	81	38.27	NA		Secondary TSS, High confidence		
TIGR4_nan_TSS_205789_+	nan	NC_003028.3	205789	+	60	20	81	38.27	NA		Secondary TSS, High confidence		
TIGR4_SP_0235_TSS_205827_+	SP_0235	NC_003028.3	205827	+	60	20	81	41.98	249.0	tss_within_coding	High Confidence (TSS_100.4)	3797.0	3797.0
TIGR4_SP_0237_TSS_207165_+	SP_0237	NC_003028.3	207165	+	60	20	81	33.33	284.0	tss_within_coding	High Confidence (TSS_100.4)	1814.0	1814.0
TIGR4_L17DE_TSS_207654_+	L17DE	NC_003028.3	207654	+	60	20	81	44.44	197.0	tss_within_coding	High Confidence (TSS_100.4)	133.0	133.0
TIGR4_nan_TSS_207994_+	nan	NC_003028.3	207994	+	60	20	81	34.57	NA		Secondary TSS, High confidence		
TIGR4_SP_0238_TSS_208042_+	SP_0238	NC_003028.3	208042	+	60	20	81	30.86	58.0	tss_intergenic	High Confidence (TSS_100.4)	897.0	5.78709677419355
TIGR4_ccnE_TSS_209768_+	ccnE	NC_003028.3	209768	+	60	20	81	22.22	0.0	tss_intergenic	High Confidence (TSS_100.4)	3426.0	4.73204419889503
TIGR4_SP_0248_TSS_217861_+	SP_0248	NC_003028.3	217861	+	60	20	81	19.75	65.0	tss_intergenic	High Confidence (TSS_100.4)	282.0	8.54545454545454
TIGR4_SP_0251_TSS_220027_+	SP_0251	NC_003028.3	220027	+	60	20	81	17.28	39.0	tss_intergenic	High Confidence (TSS_100.4)	146.0	7.68421052631579
TIGR4_SP_0254_TSS_224730_+	SP_0254	NC_003028.3	224730	+	60	20	81	29.63	22.0	tss_intergenic	High Confidence (TSS_100.4)	4067.0	5.32329842931937
TIGR4_SP_0255_TSS_227411_+	SP_0255	NC_003028.3	227411	+	60	20	81	30.86	37.0	tss_intergenic	High Confidence (TSS_100.4)	1288.0	5.57575757575758
TIGR4_ccnA_TSS_228626_+	ccnA	NC_003028.3	228626	+	60	20	81	27.16	0.0	tss_intergenic	High Confidence (TSS_100.4)	3519.0	3519.0
TIGR4_ccnB_TSS_230776_+	ccnB	NC_003028.3	230776	+	60	20	81	25.93	2.0	tss_intergenic	High Confidence (TSS_100.4)	134.0	6.38095238095238
TIGR4_SP_0259_TSS_231600_+	SP_0259	NC_003028.3	231600	+	60	20	81	33.33	0.0	tss_intergenic	High Confidence (TSS_100.4)	1154.0	6.82840236686391
TIGR4_ccnD_TSS_233186_+	ccnD	NC_003028.3	233186	+	60	20	81	27.16	0.0	tss_intergenic	High Confidence (TSS_100.4)	2687.0	9.52836879432624
TIGR4_SP_0261_TSS_233355_+	SP_0261	NC_003028.3	233355	+	60	20	81	30.86	27.0	tss_intergenic	High Confidence (TSS_100.4)	4600.0	14.1538461538462
TIGR4_SP_0265_TSS_238172_+	SP_0265	NC_003028.3	238172	+	60	20	81	28.4	26.0	tss_intergenic	High Confidence (TSS_100.4)	131.0	13.1
TIGR4_SP_0267_TSS_241660_+	SP_0267	NC_003028.3	241660	+	60	20	81	32.1	37.0	tss_intergenic	High Confidence (TSS_100.4)	3045.0	12.0833333333333
TIGR4_SP_0270_TSS_246991_+	SP_0270	NC_003028.3	246991	+	60	20	81	32.1	35.0	tss_intergenic	High Confidence (TSS_100.4)	162.0	162.0
TIGR4_SP_0272_TSS_247404_+	SP_0272	NC_003028.3	247404	+	60	20	81	56.79	134.0	tss_within_coding	High Confidence (TSS_100.4)	242.0	242.0
TIGR4_srn068_TSS_247807_+	srn068	NC_003028.3	247807	+	60	20	81	49.38	337.0	tss_within_coding	High Confidence (TSS_100.4)	1606.0	1606.0
TIGR4_nan_TSS_248127_+	nan	NC_003028.3	248127	+	60	20	81	40.74	NA		Secondary TSS, High confidence		
TIGR4_nan_TSS_248210_+	nan	NC_003028.3	248210	+	60	20	81	41.98	NA		Secondary TSS, High confidence		
TIGR4_SP_0273_TSS_248401_+	SP_0273	NC_003028.3	248401	+	60	20	81	32.1	32.0	tss_intergenic	High Confidence (TSS_100.4)	23562.0	13.7467911318553
TIGR4_SP_0274_TSS_250286_+	SP_0274	NC_003028.3	250286	+	60	20	81	41.98	332.0	tss_within_coding	High Confidence (TSS_100.4)	1204.0	1204.0
TIGR4_nan_TSS_250597_+	nan	NC_003028.3	250597	+	60	20	81	30.86	NA		Secondary TSS, High confidence		
TIGR4_SP_0275_TSS_255092_+	SP_0275	NC_003028.3	255092	+	60	20	81	30.86	19.0	tss_intergenic	High Confidence (TSS_100.4)	1734.0	6.54339622641509
TIGR4_SP_0276_TSS_255348_+	SP_0276	NC_003028.3	255348	+	60	20	81	39.51	19.0	tss_within_coding	High Confidence (TSS_100.4)	219.0	219.0
TIGR4_SP_0280_TSS_257589_+	SP_0280	NC_003028.3	257589	+	60	20	81	29.63	0.0	tss_intergenic	High Confidence (TSS_100.4)	2356.0	5.91959798994975
TIGR4_SP_0281_TSS_258510_+	SP_0281	NC_003028.3	258510	+	60	20	81	32.1	19.0	tss_intergenic	High Confidence (TSS_100.4)	28094.0	5.08304686086485
TIGR4_SP_0287_TSS_265237_+	SP_0287	NC_003028.3	265237	+	60	20	81	19.75	31.0	tss_intergenic	High Confidence (TSS_100.4)	4343.0	12.6618075801749
TIGR4_SP_0289_TSS_267536_+	SP_0289	NC_003028.3	267536	+	60	20	81	29.63	35.0	tss_intergenic	High Confidence (TSS_100.4)	1351.0	5.97787610619469
TIGR4_SP_0290_TSS_268495_+	SP_0290	NC_003028.3	268495	+	60	20	81	37.04	22.0	tss_within_coding	High Confidence (TSS_100.4)	259.0	259.0
TIGR4_L13_leader_TSS_271945_+	L13_leader	NC_003028.3	271945	+	60	20	81	32.1	0.0	tss_intergenic	High Confidence (TSS_100.4)	60276.0	9.54942965779468
TIGR4_SP_0295_TSS_272497_+	SP_0295	NC_003028.3	272497	+	60	20	81	41.98	20.0	tss_intergenic	High Confidence (TSS_100.4)	688.0	688.0
TIGR4_SP_RS11655_TSS_275308_+	SP_RS11655	NC_003028.3	275308	+	60	20	81	24.69	0.0	tss_intergenic	High Confidence (TSS_100.4)	9220.0	5.65991405770411
TIGR4_SP_0311_TSS_283758_+	SP_0311	NC_003028.3	283758	+	60	20	81	28.4	14.0	tss_intergenic	High Confidence (TSS_100.4)	9995.0	11.731220657277
TIGR4_SP_0314_TSS_287399_+	SP_0314	NC_003028.3	287399	+	60	20	81	27.16	51.0	tss_intergenic	High Confidence (TSS_100.4)	164.0	7.1304347826087
TIGR4_SP_0330_TSS_302885_+	SP_0330	NC_003028.3	302885	+	60	20	81	37.04	18.0	tss_within_coding	High Confidence (TSS_100.4)	1730.0	7.39316239316239
TIGR4_SP_0342_TSS_315311_+	SP_0342	NC_003028.3	315311	+	60	20	81	24.69	27.0	tss_intergenic	High Confidence (TSS_100.4)	836.0	6.63492063492064
TIGR4_SP_0346_TSS_320053_+	SP_0346	NC_003028.3	320053	+	60	20	81	27.16	24.0	tss_intergenic	High Confidence (TSS_100.4)	1960.0	5.93939393939394
TIGR4_SP_0347_TSS_321242_+	SP_0347	NC_003028.3	321242	+	60	20	81	49.38	282.0	tss_within_coding	High Confidence (TSS_100.4)	143.0	143.0
TIGR4_SP_0348_TSS_322236_+	SP_0348	NC_003028.3	322236	+	60	20	81	37.04	28.0	tss_within_coding	High Confidence (TSS_100.4)	244.0	244.0
TIGR4_SP_0349_TSS_322904_+	SP_0349	NC_003028.3	322904	+	60	20	81	38.27	62.0	tss_within_coding	High Confidence (TSS_100.4)	369.0	369.0
TIGR4_SP_0350_TSS_324015_+	SP_0350	NC_003028.3	324015	+	60	20	81	29.63	14.0	tss_intergenic	High Confidence (TSS_100.4)	267.0	267.0
TIGR4_SP_0351_TSS_324398_+	SP_0351	NC_003028.3	324398	+	60	20	81	37.04	236.0	tss_within_coding	High Confidence (TSS_100.4)	225.0	225.0
TIGR4_SP_0352_TSS_325744_+	SP_0352	NC_003028.3	325744	+	60	20	81	28.4	124.0	tss_within_coding	High Confidence (TSS_100.4)	129.0	129.0
TIGR4_SP_0354_TSS_327700_+	SP_0354	NC_003028.3	327700	+	60	20	81	35.8	356.0	tss_within_coding	High Confidence (TSS_100.4)	227.0	227.0
TIGR4_SP_0359_TSS_333738_+	SP_0359	NC_003028.3	333738	+	60	20	81	33.33	292.0	tss_within_coding	High Confidence (TSS_100.4)	299.0	299.0
TIGR4_SP_0371_TSS_349633_+	SP_0371	NC_003028.3	349633	+	60	20	81	28.4	38.0	tss_intergenic	High Confidence (TSS_100.4)	1472.0	6.3175965665236
TIGR4_SP_0372_TSS_350245_+	SP_0372	NC_003028.3	350245	+	60	20	81	32.1	11.0	tss_intergenic	High Confidence (TSS_100.4)	63298.0	9.75466173524426
TIGR4_SP_0373_TSS_351052_+	SP_0373	NC_003028.3	351052	+	60	20	81	33.33	31.0	tss_intergenic	High Confidence (TSS_100.4)	137.0	137.0
TIGR4_SP_0375_TSS_353699_+	SP_0375	NC_003028.3	353699	+	60	20	81	25.93	24.0	tss_intergenic	High Confidence (TSS_100.4)	4757.0	4.15458515283843
TIGR4_SP_0377_TSS_355932_+	SP_0377	NC_003028.3	355932	+	60	20	81	25.93	15.0	tss_intergenic	High Confidence (TSS_100.4)	181.0	15.0833333333333
TIGR4_SP_0381_TSS_361260_+	SP_0381	NC_003028.3	361260	+	60	20	81	25.93	58.0	tss_intergenic	High Confidence (TSS_100.4)	530.0	6.30952380952381
TIGR4_SP_0384_TSS_363671_+	SP_0384	NC_003028.3	363671	+	60	20	81	46.91	438.0	tss_within_coding	High Confidence (TSS_100.4)	116.0	116.0
TIGR4_SP_0389_TSS_368361_+	SP_0389	NC_003028.3	368361	+	60	20	81	35.8	90.0	tss_intergenic	High Confidence (TSS_100.4)	275.0	8.59375
TIGR4_SP_0400_TSS_378449_+	SP_0400	NC_003028.3	378449	+	60	20	81	20.99	32.0	tss_intergenic	High Confidence (TSS_100.4)	19181.0	8.11379018612521
TIGR4_SP_0404_TSS_384031_+	SP_0404	NC_003028.3	384031	+	60	20	81	28.4	12.0	tss_intergenic	High Confidence (TSS_100.4)	7040.0	8.78901373283396
TIGR4_Glycine_TSS_387425_+	Glycine	NC_003028.3	387425	+	60	20	81	23.46	69.0	tss_intergenic	High Confidence (TSS_100.4)	750.0	6.25
TIGR4_SP_0409_TSS_389101_+	SP_0409	NC_003028.3	389101	+	60	20	81	25.93	112.0	tss_intergenic	High Confidence (TSS_100.4)	2834.0	4.96322241681261
TIGR4_SP_0410_TSS_389849_+	SP_0410	NC_003028.3	389849	+	60	20	81	30.86	22.0	tss_intergenic	High Confidence (TSS_100.4)	488.0	6.68493150684932
TIGR4_SP_0416_TSS_395174_+	SP_0416	NC_003028.3	395174	+	60	20	81	20.99	50.0	tss_intergenic	High Confidence (TSS_100.4)	23142.0	9.22359505779195
TIGR4_nan_TSS_396190_+	nan	NC_003028.3	396190	+	60	20	81	48.15	NA		Secondary TSS, High confidence		
TIGR4_S15_TSS_396625_+	S15	NC_003028.3	396625	+	60	20	81	49.38	15.0	tss_within_coding	High Confidence (TSS_100.4)	463.0	463.0
TIGR4_SP_0418_TSS_396668_+	SP_0418	NC_003028.3	396668	+	60	20	81	32.1	24.0	tss_intergenic	High Confidence (TSS_100.4)	4196.0	4196.0
TIGR4_SP_0419_TSS_396968_+	SP_0419	NC_003028.3	396968	+	60	20	81	37.04	67.0	tss_intergenic	High Confidence (TSS_100.4)	10158.0	10158.0
TIGR4_SP_0422_TSS_399369_+	SP_0422	NC_003028.3	399369	+	60	20	81	37.04	340.0	tss_within_coding	High Confidence (TSS_100.4)	2310.0	4.31775700934579
TIGR4_nan_TSS_399457_+	nan	NC_003028.3	399457	+	60	20	81	50.62	NA		Secondary TSS, High confidence		
TIGR4_SP_0423_TSS_400849_+	SP_0423	NC_003028.3	400849	+	60	20	81	39.51	98.0	tss_within_coding	High Confidence (TSS_100.4)	161.0	161.0
TIGR4_SP_0441_TSS_414817_+	SP_0441	NC_003028.3	414817	+	60	20	81	34.57	52.0	tss_intergenic	High Confidence (TSS_100.4)	86228.0	6.3170695970696
TIGR4_nan_TSS_415027_+	nan	NC_003028.3	415027	+	60	20	81	35.8	NA		Secondary TSS, High confidence		
